dataset,column,missing_values,rows,missing_pct,split,data_type,line,station,station_key,observed_values,completeness_pct
train_numeric,L0_S0_F0,509885,1183747,43.0738,train,numeric,0,0,L0_S0,673862,56.9262
train_numeric,L0_S0_F2,509885,1183747,43.0738,train,numeric,0,0,L0_S0,673862,56.9262
train_numeric,L0_S0_F4,509885,1183747,43.0738,train,numeric,0,0,L0_S0,673862,56.9262
train_numeric,L0_S0_F6,509885,1183747,43.0738,train,numeric,0,0,L0_S0,673862,56.9262
train_numeric,L0_S0_F8,509885,1183747,43.0738,train,numeric,0,0,L0_S0,673862,56.9262
train_numeric,L0_S0_F10,509885,1183747,43.0738,train,numeric,0,0,L0_S0,673862,56.9262
train_numeric,L0_S0_F12,509885,1183747,43.0738,train,numeric,0,0,L0_S0,673862,56.9262
train_numeric,L0_S0_F14,509885,1183747,43.0738,train,numeric,0,0,L0_S0,673862,56.9262
train_numeric,L0_S0_F16,509885,1183747,43.0738,train,numeric,0,0,L0_S0,673862,56.9262
train_numeric,L0_S0_F18,509885,1183747,43.0738,train,numeric,0,0,L0_S0,673862,56.9262
train_numeric,L0_S0_F20,509885,1183747,43.0738,train,numeric,0,0,L0_S0,673862,56.9262
train_numeric,L0_S0_F22,509885,1183747,43.0738,train,numeric,0,0,L0_S0,673862,56.9262
train_numeric,L0_S1_F24,509845,1183747,43.0704,train,numeric,0,1,L0_S1,673902,56.9296
train_numeric,L0_S1_F28,509843,1183747,43.0703,train,numeric,0,1,L0_S1,673904,56.9297
train_numeric,L0_S2_F32,843973,1183747,71.2967,train,numeric,0,2,L0_S2,339774,28.7033
train_numeric,L0_S2_F36,843973,1183747,71.2967,train,numeric,0,2,L0_S2,339774,28.7033
train_numeric,L0_S2_F40,843973,1183747,71.2967,train,numeric,0,2,L0_S2,339774,28.7033
train_numeric,L0_S2_F44,843973,1183747,71.2967,train,numeric,0,2,L0_S2,339774,28.7033
train_numeric,L0_S2_F48,843973,1183747,71.2967,train,numeric,0,2,L0_S2,339774,28.7033
train_numeric,L0_S2_F52,843973,1183747,71.2967,train,numeric,0,2,L0_S2,339774,28.7033
train_numeric,L0_S2_F56,843973,1183747,71.2967,train,numeric,0,2,L0_S2,339774,28.7033
train_numeric,L0_S2_F60,843973,1183747,71.2967,train,numeric,0,2,L0_S2,339774,28.7033
train_numeric,L0_S2_F64,843973,1183747,71.2967,train,numeric,0,2,L0_S2,339774,28.7033
train_numeric,L0_S3_F68,849039,1183747,71.7247,train,numeric,0,3,L0_S3,334708,28.2753
train_numeric,L0_S3_F72,849039,1183747,71.7247,train,numeric,0,3,L0_S3,334708,28.2753
train_numeric,L0_S3_F76,849039,1183747,71.7247,train,numeric,0,3,L0_S3,334708,28.2753
train_numeric,L0_S3_F80,849039,1183747,71.7247,train,numeric,0,3,L0_S3,334708,28.2753
train_numeric,L0_S3_F84,849039,1183747,71.7247,train,numeric,0,3,L0_S3,334708,28.2753
train_numeric,L0_S3_F88,849039,1183747,71.7247,train,numeric,0,3,L0_S3,334708,28.2753
train_numeric,L0_S3_F92,849039,1183747,71.7247,train,numeric,0,3,L0_S3,334708,28.2753
train_numeric,L0_S3_F96,849039,1183747,71.7247,train,numeric,0,3,L0_S3,334708,28.2753
train_numeric,L0_S3_F100,849039,1183747,71.7247,train,numeric,0,3,L0_S3,334708,28.2753
train_numeric,L0_S4_F104,848452,1183747,71.6751,train,numeric,0,4,L0_S4,335295,28.3249
train_numeric,L0_S4_F109,848504,1183747,71.6795,train,numeric,0,4,L0_S4,335243,28.3205
train_numeric,L0_S5_F114,844235,1183747,71.3189,train,numeric,0,5,L0_S5,339512,28.6811
train_numeric,L0_S5_F116,844235,1183747,71.3189,train,numeric,0,5,L0_S5,339512,28.6811
train_numeric,L0_S6_F118,844759,1183747,71.3631,train,numeric,0,6,L0_S6,338988,28.6369
train_numeric,L0_S6_F122,844759,1183747,71.3631,train,numeric,0,6,L0_S6,338988,28.6369
train_numeric,L0_S6_F132,844759,1183747,71.3631,train,numeric,0,6,L0_S6,338988,28.6369
train_numeric,L0_S7_F136,848049,1183747,71.6411,train,numeric,0,7,L0_S7,335698,28.3589
train_numeric,L0_S7_F138,848049,1183747,71.6411,train,numeric,0,7,L0_S7,335698,28.3589
train_numeric,L0_S7_F142,848049,1183747,71.6411,train,numeric,0,7,L0_S7,335698,28.3589
train_numeric,L0_S8_F144,509866,1183747,43.0722,train,numeric,0,8,L0_S8,673881,56.9278
train_numeric,L0_S8_F146,509866,1183747,43.0722,train,numeric,0,8,L0_S8,673881,56.9278
train_numeric,L0_S8_F149,509866,1183747,43.0722,train,numeric,0,8,L0_S8,673881,56.9278
train_numeric,L0_S9_F155,958088,1183747,80.9369,train,numeric,0,9,L0_S9,225659,19.0631
train_numeric,L0_S9_F160,958069,1183747,80.9353,train,numeric,0,9,L0_S9,225678,19.0647
train_numeric,L0_S9_F165,958076,1183747,80.9359,train,numeric,0,9,L0_S9,225671,19.0641
train_numeric,L0_S9_F170,958069,1183747,80.9353,train,numeric,0,9,L0_S9,225678,19.0647
train_numeric,L0_S9_F175,958088,1183747,80.9369,train,numeric,0,9,L0_S9,225659,19.0631
train_numeric,L0_S9_F180,958088,1183747,80.9369,train,numeric,0,9,L0_S9,225659,19.0631
train_numeric,L0_S9_F185,958088,1183747,80.9369,train,numeric,0,9,L0_S9,225659,19.0631
