feature,non_null_count,missing_count,missing_rate,present_rate,value_corr_with_response,abs_value_corr,missing_failure_rate,present_failure_rate,missing_signal_abs_diff,global_response_rate_reference
L1_S24_F867,12026,1171721,0.9898407345488521,0.01015926545114787,-0.22712468707650255,0.22712468707650255,0.0058068430966074685,0.006236487610177948,0.0004296445135704794,0.005780455124672923
L1_S24_F1723,66500,1117247,0.9438224553050609,0.056177544694939074,-0.18530013254761285,0.18530013254761285,0.00561200880378287,0.009157894736842104,0.0035458859330592344,0.005780455124672923
L1_S24_F839,12026,1171721,0.9898407345488521,0.01015926545114787,-0.1404754290493935,0.1404754290493935,0.0058068430966074685,0.006236487610177948,0.0004296445135704794,0.005780455124672923
L1_S24_F1695,66500,1117247,0.9438224553050609,0.056177544694939074,-0.13435700065846196,0.13435700065846196,0.00561200880378287,0.009157894736842104,0.0035458859330592344,0.005780455124672923
L1_S24_F1632,66583,1117164,0.9437523389710808,0.056247661028919205,-0.1273636020835187,0.1273636020835187,0.005614215996935097,0.009116441133622696,0.003502225136687599,0.005780455124672923
L1_S24_F1604,66583,1117164,0.9437523389710808,0.056247661028919205,-0.10461929197451218,0.10461929197451218,0.005614215996935097,0.009116441133622696,0.003502225136687599,0.005780455124672923
L1_S25_F2657,2154,1181593,0.9981803544169489,0.0018196455830511438,-0.0951020531277562,0.0951020531277562,0.005816723694199272,0.002785515320334262,0.00303120837386501,0.005780455124672923
L1_S24_F1758,66500,1117247,0.9438224553050609,0.056177544694939074,-0.09354459562390109,0.09354459562390109,0.00561200880378287,0.009157894736842104,0.0035458859330592344,0.005780455124672923
L1_S24_F902,12026,1171721,0.9898407345488521,0.01015926545114787,-0.08462487695099032,0.08462487695099032,0.0058068430966074685,0.006236487610177948,0.0004296445135704794,0.005780455124672923
L1_S24_F1667,66583,1117164,0.9437523389710808,0.056247661028919205,-0.08364283199389375,0.08364283199389375,0.005614215996935097,0.009116441133622696,0.003502225136687599,0.005780455124672923
L1_S25_F2662,2154,1181593,0.9981803544169489,0.0018196455830511438,0.08152907337395132,0.08152907337395132,0.005816723694199272,0.002785515320334262,0.00303120837386501,0.005780455124672923
L1_S25_F2307,3579,1180168,0.9969765498877716,0.0030234501122283763,-0.06789583012834961,0.06789583012834961,0.005810189735698646,0.006146968426934898,0.00033677869123625165,0.005780455124672923
L1_S25_F2385,3598,1180149,0.9969604991607159,0.0030395008392840595,-0.06739577853753001,0.06739577853753001,0.0058051991740026045,0.007782101167315175,0.0019769019933125707,0.005780455124672923
L1_S25_F2297,3579,1180168,0.9969765498877716,0.0030234501122283763,-0.06377865404384013,0.06377865404384013,0.005810189735698646,0.006146968426934898,0.00033677869123625165,0.005780455124672923
L1_S24_F1846,132922,1050825,0.8877108030685611,0.1122891969314389,-0.06271109168257935,0.06271109168257935,0.005411938239002688,0.008967665247287883,0.0035557270082851944,0.005780455124672923
L2_S28_F3259,9583,1174164,0.9919045201381714,0.00809547986182857,-0.06179836445325013,0.06179836445325013,0.005801574567096249,0.006991547532088072,0.0011899729649918235,0.005780455124672923
L1_S25_F2193,1243,1182504,0.9989499445405141,0.001050055459485888,0.05978594683520842,0.05978594683520842,0.005813933821788341,0.003218020917135961,0.0025959129046523796,0.005780455124672923
L1_S25_F2632,2154,1181593,0.9981803544169489,0.0018196455830511438,0.05871726895866815,0.05871726895866815,0.005816723694199272,0.002785515320334262,0.00303120837386501,0.005780455124672923
L1_S25_F2564,2147,1181600,0.9981862678427063,0.001813732157293746,-0.05828885414893541,0.05828885414893541,0.0058200744752877455,0.0009315323707498836,0.004888542104537862,0.005780455124672923
L1_S25_F2516,2147,1181600,0.9981862678427063,0.001813732157293746,0.057486663681961654,0.057486663681961654,0.0058200744752877455,0.0009315323707498836,0.004888542104537862,0.005780455124672923
L1_S25_F2741,4268,1179479,0.9963944998382256,0.003605500161774411,-0.05279658312014889,0.05279658312014889,0.0058254534417314765,0.0018744142455482662,0.00395103919618321,0.005780455124672923
L1_S25_F2504,4297,1179450,0.9963700013600879,0.003629998639912091,-0.05277091619039222,0.05277091619039222,0.005825596676416974,0.0018617640214102862,0.003963832655006688,0.005780455124672923
L1_S24_F1002,11879,1171868,0.9899649164897567,0.010035083510243292,0.05160428952870352,0.05160428952870352,0.00581379472773384,0.00555602323427898,0.00025777149345485983,0.005780455124672923
L1_S24_F1298,13563,1170184,0.988542315207557,0.011457684792443024,-0.049837388836149896,0.049837388836149896,0.005781996677445598,0.0083314900833149,0.0025494934058693025,0.005780455124672923
L1_S25_F2613,2154,1181593,0.9981803544169489,0.0018196455830511438,-0.049179180873461945,0.049179180873461945,0.005816723694199272,0.002785515320334262,0.00303120837386501,0.005780455124672923
L1_S25_F2647,2154,1181593,0.9981803544169489,0.0018196455830511438,-0.048690934421961284,0.048690934421961284,0.005816723694199272,0.002785515320334262,0.00303120837386501,0.005780455124672923
L1_S24_F1581,66583,1117164,0.9437523389710808,0.056247661028919205,0.047810029887578424,0.047810029887578424,0.005614215996935097,0.009116441133622696,0.003502225136687599,0.005780455124672923
L2_S28_F3292,9583,1174164,0.9919045201381714,0.00809547986182857,0.04752692518464788,0.04752692518464788,0.005801574567096249,0.006991547532088072,0.0011899729649918235,0.005780455124672923
L1_S25_F2184,1243,1182504,0.9989499445405141,0.001050055459485888,-0.046643752483839056,0.046643752483839056,0.005813933821788341,0.003218020917135961,0.0025959129046523796,0.005780455124672923
L1_S24_F1672,66500,1117247,0.9438224553050609,0.056177544694939074,0.04647026463720038,0.04647026463720038,0.00561200880378287,0.009157894736842104,0.0035458859330592344,0.005780455124672923
