line,station,station_key,presence_column,part_count,failure_count,failure_rate,failure_rate_pct,overall_failure_rate_pct,failure_rate_lift,categorical_feature_count,date_feature_count,numeric_feature_count,total_feature_count
3,32,L3_S32,present_L3_S32,24543,1106,0.045063765635822844,4.506376563582284,0.581120796927046,7.754629652581536,3,1,1,5
1,24,L1_S24,present_L1_S24,183727,1521,0.008278587251737633,0.8278587251737632,0.581120796927046,1.4245897402940353,660,288,229,1177
3,38,L3_S38,present_L3_S38,27142,212,0.007810772971778056,0.7810772971778056,0.581120796927046,1.3440876687052419,6,3,3,12
2,26,L2_S26,present_L2_S26,227011,1695,0.0074665985348727594,0.7466598534872759,0.581120796927046,1.2848616973193814,53,26,14,93
2,28,L2_S28,present_L2_S28,9583,67,0.006991547532088072,0.6991547532088073,0.581120796927046,1.2031143213354645,53,26,14,93
2,27,L2_S27,present_L2_S27,120729,822,0.006808637527023333,0.6808637527023333,0.581120796927046,1.171638936866011,53,26,14,93
3,36,L3_S36,present_L3_S36,569032,3391,0.005959243065416356,0.5959243065416355,0.581120796927046,1.0254740661371442,8,8,8,24
3,37,L3_S37,present_L3_S37,1120394,6556,0.005851512949908693,0.5851512949908693,0.581120796927046,1.0069357319255074,0,6,4,10
3,30,L3_S30,present_L3_S30,1119811,6551,0.0058500943462780775,0.5850094346278077,0.581120796927046,1.006691616822741,204,68,68,340
3,29,L3_S29,present_L3_S29,1119629,6546,0.005846579536614361,0.584657953661436,0.581120796927046,1.006086783940782,63,63,53,179
3,35,L3_S35,present_L3_S35,552108,3177,0.005754308939555305,0.5754308939555305,0.581120796927046,0.9902087431707768,18,8,8,34
0,21,L0_S21,present_L0_S21,81409,461,0.0056627645592010716,0.5662764559201071,0.581120796927046,0.9744556706876859,45,15,14,74
0,14,L0_S14,present_L0_S14,120625,681,0.0056455958549222795,0.564559585492228,0.581120796927046,0.9715012583917261,18,9,9,36
0,16,L0_S16,present_L0_S16,119139,661,0.005548141246778973,0.5548141246778973,0.581120796927046,0.9547311464530991,6,2,2,10
0,19,L0_S19,present_L0_S19,121027,669,0.00552769216786337,0.552769216786337,0.581120796927046,0.9512122431504231,0,5,3,8
0,12,L0_S12,present_L0_S12,242061,1323,0.0054655644651554775,0.5465564465155478,0.581120796927046,0.9405212296750111,0,12,12,24
0,13,L0_S13,present_L0_S13,242065,1323,0.0054654741495052984,0.5465474149505298,0.581120796927046,0.940505688043967,0,2,2,4
0,20,L0_S20,present_L0_S20,242111,1323,0.005464435734022824,0.5464435734022824,0.581120796927046,0.9403269961974584,0,4,3,7
0,10,L0_S10,present_L0_S10,224540,1223,0.005446691012737152,0.5446691012737152,0.581120796927046,0.9372734621681299,39,13,12,64
0,23,L0_S23,present_L0_S23,80290,434,0.005405405405405406,0.5405405405405406,0.581120796927046,0.9301689827638367,30,15,14,59
0,18,L0_S18,present_L0_S18,121081,654,0.00540134290268498,0.540134290268498,0.581120796927046,0.929469902169594,10,5,3,18
0,17,L0_S17,present_L0_S17,123027,662,0.005380932640802426,0.5380932640802426,0.581120796927046,0.9259576785509448,0,2,2,4
0,7,L0_S7,present_L0_S7,335698,1805,0.0053768565794255554,0.5376856579425555,0.581120796927046,0.9252562647659927,0,5,3,8
0,4,L0_S4,present_L0_S4,335295,1800,0.005368406925244934,0.5368406925244934,0.581120796927046,0.9238022376127221,6,2,2,10
0,0,L0_S0,present_L0_S0,673862,3608,0.0053542119899920165,0.5354211989992017,0.581120796927046,0.9213595552430702,0,12,12,24
0,3,L0_S3,present_L0_S3,334708,1792,0.0053539204321378635,0.5353920432137863,0.581120796927046,0.9213093835996365,18,9,9,36
0,8,L0_S8,present_L0_S8,673881,3606,0.005351093145525693,0.5351093145525694,0.581120796927046,0.9208228605519121,0,4,3,7
0,1,L0_S1,present_L0_S1,673904,3606,0.005350910515444336,0.5350910515444336,0.581120796927046,0.9207914333370674,4,2,2,8
0,2,L0_S2,present_L0_S2,339774,1817,0.0053476722762777614,0.5347672276277762,0.581120796927046,0.9202341930552365,18,9,9,36
0,5,L0_S5,present_L0_S5,339512,1811,0.005334126628808407,0.5334126628808407,0.581120796927046,0.9179032409466588,0,2,2,4
0,6,L0_S6,present_L0_S6,338988,1805,0.005324672259785007,0.5324672259785007,0.581120796927046,0.9162763211954823,10,5,3,18
0,22,L0_S22,present_L0_S22,80601,428,0.005310107815039516,0.5310107815039515,0.581120796927046,0.913770053166097,45,15,14,74
0,9,L0_S9,present_L0_S9,225679,1196,0.005299562653148942,0.5299562653148941,0.581120796927046,0.9119554284019626,39,13,12,64
0,11,L0_S11,present_L0_S11,225452,1193,0.005291592001845182,0.5291592001845182,0.581120796927046,0.9105838286681537,26,13,12,51
0,15,L0_S15,present_L0_S15,121445,640,0.005269875252171765,0.5269875252171765,0.581120796927046,0.9068467829819117,9,9,9,27
