station,base_station_risk,one_hop_station_risk,two_hop_station_risk,message_passing_station_risk
L0_S0,0.28014141340699233,0.3292984238954318,0.3986432025018053,0.15936564729364258
L0_S1,0.31431155593234006,0.38253111371294,0.4157302164411526,0.21874559284623465
L0_S2,0.3342471053978274,0.4151582102899495,0.40171010699723,0.24841400361797147
L0_S3,0.3197274542069026,0.42837308773414945,0.39703096066373783,0.24090017749294282
L0_S4,0.3993743278546166,0.3729163311040743,0.49065063792812924,0.3064609160522204
L0_S5,0.4609806620135401,0.35732997921556087,0.5024918774455182,0.3557507587231707
L0_S6,0.3414200151812973,0.3840403717583418,0.5352697038424019,0.27170959453929344
L0_S7,0.34620995585710185,0.38003992286746124,0.5340848397352391,0.2737086340435968
L0_S8,0.37443672108075804,0.5329906155252674,0.6085657361253956,0.38917421967137944
L0_S9,0.375965773285156,0.6485156860972541,0.5691103457598833,0.4362312192601349
L0_S10,0.29153158172454313,0.6561939724533687,0.5667621166696636,0.36545916852247884
L0_S11,0.307038038712677,0.6624649176484182,0.5633108853119961,0.3811958790337388
L0_S12,0.6363645055786166,0.4877939114695752,0.4567834184508135,0.560560371144974
L0_S13,0.7127698234876322,0.4379939178886677,0.448807899475477,0.6017415001518167
L0_S14,0.512701057033803,0.46514520644817303,0.4451677120785448,0.4387795144798974
L0_S15,0.4250622629991409,0.4670213505962512,0.45012783177364546,0.3641784650573482
L0_S16,0.3750582895905685,0.36816926105536363,0.5439610629339653,0.29564109231524244
L0_S17,0.4391143506813401,0.35894017729051986,0.5651806206076642,0.352346226970633
L0_S18,0.3013502659332312,0.5634671069165895,0.552636832119164,0.3264256938823461
L0_S19,0.2941006573254507,0.5617166933560976,0.5517891857396363,0.3190449582058804
L0_S20,0.3628615829487482,0.5366484016658475,0.5629688906796558,0.36991165065456116
L0_S21,0.3019508605992487,0.569763506613014,0.5686480437660079,0.3337767971447737
L0_S22,0.30151669201207637,0.5804540359637321,0.5687421730088174,0.33852141883811715
L0_S23,0.3001577057475967,0.5928053340881521,0.5672687263118656,0.34287540397142674
L1_S24,1.0,0.6813165629367149,0.5779630213705116,1.0
L1_S25,0.9033450579190803,0.680364690806513,0.5739499587662892,0.9140193377456662
L2_S26,0.6758600070712141,0.6309553755564689,0.5381027003527233,0.6828455094531936
L2_S27,0.6819868652981399,0.6397406406829436,0.5290870780712424,0.690247645682917
L2_S28,0.6314420625807096,0.6684912603632098,0.5293560415409834,0.659808564111937
L3_S29,0.8183898280653876,0.6266819795297973,0.6242016420840208,0.8260585747282241
L3_S30,0.7410579420056859,0.6240700879225475,0.6324078506866921,0.7591082980649988
L3_S31,0.5007402555360496,0.6771355094259742,0.6217892444443411,0.5716325598009093
L3_S32,0.7521233126440512,0.6038950487016137,0.5649386220969128,0.7430617069579151
L3_S33,0.6663788822044732,0.6110879275959126,0.5611831838221986,0.6705758014290144
L3_S34,0.6404179033299237,0.6094661080373662,0.5766449484365463,0.6507766419431865
L3_S35,0.548776697498752,0.6488567669272642,0.5274165933766353,0.5776467214989994
L3_S36,0.4913202151994006,0.6656924564391653,0.49548511577186927,0.5277900414763341
L3_S37,0.5676432085748557,0.6208984686737757,0.5185650574682791,0.5786988335276518
L3_S38,0.7675456917350537,0.0,0.0,0.33353960240945
L3_S39,0.7191994420986801,0.49867295364207465,0.4924813609432891,0.6467476500535222
L3_S40,0.49549828971246856,0.5414148424055663,0.48967374727594026,0.4707476411129227
L3_S41,0.5160160875714752,0.5166089845220864,0.49586680240657766,0.47833905646660424
L3_S42,0.14695362591954778,0.5432307487630391,0.5129389785827055,0.17220487211171698
L3_S43,0.5645680900832352,0.5281909120625997,0.4860917124600672,0.5240147795038376
L3_S44,0.48886276275407625,0.5050679681833037,0.46021988179083656,0.440566956403671
L3_S45,0.5193635525310671,0.4845968844506007,0.46277186414939986,0.45809296102307406
L3_S46,0.0,0.5036890723652357,0.4091951383703019,0.0
L3_S47,0.5036890723652357,0.4091951383703019,0.4322247929895805,0.4011038532626509
L3_S48,0.44068524614455284,0.3995743486241896,0.4260903631082594,0.3399229814838159
L3_S49,0.36668104656514205,0.4167516550086514,0.41051260770391934,0.2796532161934769
L3_S50,0.3951005215423653,0.41693176740669124,0.4100921086970306,0.3045046079767803
L3_S51,0.3123349286319887,0.420262598021809,0.4121385528652692,0.23416636576012417
