station,product_count,avg_dwell,p90_dwell,avg_waiting_time,p90_waiting_time,positive_wait_rate,failure_count,labeled_count,failure_rate_pct,failure_lift,bottleneck_score,bottleneck_rank
L1_S25,167220,2.2360294801213514,8.648699743605466,30.305350938465473,36.49513785740858,0.999251497005988,424.0,83658.0,0.5068254082096153,0.9032631258485463,88.33713373993885,1
L1_S24,366583,0.09698866157014731,0.06299547360770144,23.25339665050965,41.0135499014125,0.994170175205116,1521.0,183727.0,0.8278587251737632,1.4754079960256805,74.37195984225733,2
L3_S38,54175,0.0,0.0,22.458706186883685,32.76502271599546,1.0,212.0,27142.0,0.7810772971778056,1.3920342381224244,70.63106122753706,3
L0_S13,484481,0.0,0.0,18.251959601515953,31.57883046454864,0.2471692538968556,1323.0,242065.0,0.5465474149505298,0.9740555987447281,58.9562472409478,4
L2_S28,19153,0.0,0.0,7.884526998707792,13.435712594566667,0.9978789571100224,67.0,9583.0,0.6991547532088073,1.2460320607566477,57.21268028224495,5
L2_S27,240285,0.0,0.0,6.270982695599107,12.227706439898231,0.9985244028091159,822.0,120729.0,0.6808637527023333,1.2134338799536406,57.13229262497352,6
L2_S26,454344,0.0,0.0,5.493174627249929,9.860437938391454,0.9991479857390759,1695.0,227011.0,0.7466598534872759,1.3306955458073646,55.50535772288917,7
L0_S12,484476,0.0,0.0,21.77672741926571,28.62656288707162,0.0020347822784531136,1323.0,242061.0,0.5465564465155478,0.9740716947800043,55.493274603368825,8
L3_S29,2239066,0.0,0.0,5.7874743245247675,9.251115620080586,0.8784911791716025,6546.0,1119629.0,0.584657953661436,1.0419761168682946,54.275091245161114,9
L3_S39,120019,0.0,0.0,6.171518262569686,8.511824197209396,0.8871570685690306,303.0,59908.0,0.5057755224677839,0.9013920217926142,51.84819678021051,10
L3_S30,2239366,0.0,0.0,6.887507121069943,8.890029334204653,0.5651788439125925,6551.0,1119811.0,0.5850094346278077,1.0426025254721623,50.16078752586752,11
L3_S43,61130,0.0,0.0,9.073606372357963,10.4226367766902,0.43863905816459237,159.0,30551.0,0.520441229419659,0.9275292124100402,48.11124556767363,12
L0_S14,241740,0.0,0.0,4.342536283168201,4.342625570128318,0.6360703666338248,681.0,120625.0,0.564559585492228,1.0061568493988438,42.37582204461544,13
L3_S31,78238,0.0,0.0,4.082455121623001,5.821134026954528,0.5964966754296552,106.0,39003.0,0.2717739661051714,0.48435496360688723,41.99353275421881,14
L3_S33,2229189,0.0,0.0,4.5434368796141875,4.543986028402294,0.4436523719578177,5546.0,1114695.0,0.4975352002117171,0.8867061376233346,41.44700180047805,15
L3_S32,48678,0.0,0.0,1.2055954538940112,1.220814736891728,0.7954049597810182,1106.0,24543.0,4.506376563582284,8.031254382946189,40.1792204022711,16
L3_S41,120024,0.0,0.0,6.188531577683513,6.54925059491733,0.13112300503544683,304.0,59913.0,0.5074024001468797,0.9042914396078818,38.670449386191486,17
L3_S45,120075,0.0,0.0,3.8761390144905965,4.52208609646687,0.4476174633464318,304.0,59932.0,0.5072415404124675,0.9040047557436266,38.654132110673345,18
L3_S44,59795,0.0,0.0,6.727249923409024,7.797542141788383,0.05550983731123453,146.0,29804.0,0.48986713192860015,0.8730401232238282,38.64493584411484,19
L3_S40,120033,0.0,0.0,3.9769249759230076,5.218792590146229,0.34128649642893916,304.0,59914.0,0.5073939313015321,0.9042763464503624,38.131682619351096,20
L3_S34,2230053,0.0,0.0,2.46923272466163,2.480280063375963,0.38550742230466795,5718.0,1115118.0,0.5127708457759627,0.9138590715800106,34.1502487801032,21
L3_S35,1104221,0.0,0.0,2.004602699998957,2.0956376581128664,0.5077498169116893,3177.0,552108.0,0.5754308939555305,1.025531671389941,33.84329912828791,22
L0_S15,242734,0.0,0.0,1.5947906517316919,1.6297751327998529,0.6041813907013772,640.0,121445.0,0.5269875252171765,0.9391960063572555,31.934104712390916,23
L3_S47,120104,0.0,0.0,1.490805285345195,1.494206912962745,0.4897564953572977,304.0,59955.0,0.5070469518805771,0.9036579604908186,29.006042250955154,24
L3_S37,2240660,0.0,0.0,0.7738732226601726,0.7768792036927201,0.5079398987080708,6556.0,1120394.0,0.5851512949908693,1.0428553486986567,26.859927169769232,25
L3_S48,120048,0.0,0.0,1.098364298807286,1.09932131348407,0.46838207078155014,303.0,59923.0,0.5056489161090065,0.9011663842189465,26.303012161872434,26
L0_S5,679598,0.0,0.0,0.05029417605990935,0.07503149488780823,0.9981371385381335,1811.0,339512.0,0.5334126628808407,0.9506468725452589,26.164883830493263,27
L0_S4,670603,0.0,0.0,0.03566888699818059,0.049577788280256406,0.9983939747962169,1800.0,335295.0,0.5368406925244934,0.9567562994233736,25.893027891723225,28
