first_time_bin,part_count,failure_count,failure_rate,avg_duration,avg_observed_date_values,failure_rate_pct
"(-0.001, 105.47]",59170,194,0.003278688524590164,4.5484576,176.07126922426906,0.32786885245901637
"(105.47, 198.86]",59152,324,0.005477414119556397,2.6582193,173.72347511495806,0.5477414119556396
"(198.86, 266.586]",59153,407,0.006880462529372982,2.388859,175.98258752725982,0.6880462529372982
"(266.586, 351.228]",59158,503,0.008502653909868488,6.1627584,178.17321410460124,0.8502653909868488
"(351.228, 466.82]",59161,549,0.009279762005375163,34.726994,189.9269620188976,0.9279762005375163
"(466.82, 560.88]",59195,317,0.005355182025508911,6.515948,182.84921023735112,0.5355182025508911
"(560.88, 626.46]",59124,362,0.006122725120086598,5.1657877,202.72205872403762,0.6122725120086597
"(626.46, 692.19]",59169,562,0.009498216971725058,19.305174,219.7868140411364,0.9498216971725059
"(692.19, 768.4]",59162,548,0.009262702410330956,28.771845,238.64904837564654,0.9262702410330956
"(768.4, 877.71]",59145,614,0.010381266379237468,12.324894,231.7831938456336,1.0381266379237468
"(877.71, 944.31]",59179,518,0.00875310498656618,6.231147,224.2891059328478,0.875310498656618
"(944.31, 991.42]",59138,287,0.004853055564949778,13.154613,230.71414319050356,0.4853055564949778
"(991.42, 1092.33]",59157,157,0.002653954730632047,28.460264,245.51831566847542,0.2653954730632047
"(1092.33, 1156.87]",59192,135,0.0022807136099472903,7.508388,215.15605149344506,0.22807136099472902
"(1156.87, 1238.14]",59119,174,0.0029432162249023158,10.562833,218.76439046668582,0.2943216224902316
"(1238.14, 1356.56]",59175,262,0.004427545416138572,8.495787,210.1824250105619,0.4427545416138572
"(1356.56, 1408.71]",59149,297,0.005021217603002587,3.7555299,186.79729158565655,0.5021217603002587
"(1408.71, 1476.23]",59154,141,0.002383608885282483,3.0060716,189.31012273050004,0.2383608885282483
"(1476.23, 1592.37]",59156,284,0.004800865508147948,5.202149,208.01163026573803,0.4800865508147948
"(1592.37, 1716.54]",59157,242,0.004090809202630289,5.421495,208.89867640346873,0.40908092026302895
