feature,present_count,missing_count,present_rate,present_failure_rate,missing_failure_rate,presence_signal_abs_diff
L3_S32_F3854,21582,1162165,0.0182319363850552,0.0503660457788898,0.0049838017837398,0.0453822439951499
L3_S32_F3851,21582,1162165,0.0182319363850552,0.0503660457788898,0.0049838017837398,0.0453822439951499
L0_S10_F215,503,1183244,0.0004249218794218,0.0,0.0058136783283921,0.0058136783283921
L0_S10_F238,503,1183244,0.0004249218794218,0.0,0.0058136783283921,0.0058136783283921
L0_S10_F235,503,1183244,0.0004249218794218,0.0,0.0058136783283921,0.0058136783283921
L0_S10_F218,503,1183244,0.0004249218794218,0.0,0.0058136783283921,0.0058136783283921
L0_S10_F225,503,1183244,0.0004249218794218,0.0,0.0058136783283921,0.0058136783283921
L0_S10_F228,503,1183244,0.0004249218794218,0.0,0.0058136783283921,0.0058136783283921
L0_S10_F230,490,1183257,0.0004139398030153,0.0,0.005813614455693,0.005813614455693
L0_S10_F233,490,1183257,0.0004139398030153,0.0,0.005813614455693,0.005813614455693
L0_S10_F220,486,1183261,0.0004105607025825,0.0,0.0058135948028372,0.0058135948028372
L0_S10_F273,486,1183261,0.0004105607025825,0.0,0.0058135948028372,0.0058135948028372
L0_S10_F243,486,1183261,0.0004105607025825,0.0,0.0058135948028372,0.0058135948028372
L0_S10_F255,486,1183261,0.0004105607025825,0.0,0.0058135948028372,0.0058135948028372
L0_S10_F250,486,1183261,0.0004105607025825,0.0,0.0058135948028372,0.0058135948028372
L0_S10_F258,486,1183261,0.0004105607025825,0.0,0.0058135948028372,0.0058135948028372
L0_S10_F223,486,1183261,0.0004105607025825,0.0,0.0058135948028372,0.0058135948028372
L0_S10_F275,486,1183261,0.0004105607025825,0.0,0.0058135948028372,0.0058135948028372
L0_S10_F248,486,1183261,0.0004105607025825,0.0,0.0058135948028372,0.0058135948028372
L0_S10_F253,486,1183261,0.0004105607025825,0.0,0.0058135948028372,0.0058135948028372
