from_station,to_station,transition_count,wait_sum,positive_wait_count,failure_count,labeled_count,avg_waiting_time,positive_wait_rate,failure_rate_pct
L3_S29,L3_S30,1971196,14486.3017578125,999631.0,5661.0,985629.0,0.007348991047979247,0.5071190282447814,0.5743540419366719
L0_S0,L0_S1,1346767,1968.4680786132812,102044.0,3604.0,673063.0,0.0014616248234574215,0.07576960231428302,0.5354625049958176
L3_S34,L3_S33,1087398,0.0,0.0,2778.0,543685.0,0.0,0.0,0.5109576317168949
L3_S30,L3_S33,970910,19394.5703125,891308.0,2336.0,485546.0,0.019975662329670102,0.9180129981151703,0.4811078661959938
L3_S33,L3_S34,965844,4424.51953125,411708.0,2248.0,482921.0,0.004580987748797943,0.4262675960092934,0.4655005684159521
L0_S1,L0_S2,678332,4776.767578125,247056.0,1813.0,339345.0,0.007041931647224368,0.3642110353042463,0.5342645390384416
L0_S6,L0_S8,675449,1661.2687377929688,131518.0,1793.0,337392.0,0.0024595028459483523,0.19471196196900137,0.5314293166405842
L0_S1,L0_S3,669098,5813.83154296875,268630.0,1788.0,334054.0,0.00868905831876459,0.40148079952413546,0.5352428050554701
L0_S7,L0_S8,668000,1422.1901245117188,111835.0,1798.0,334001.0,0.002129027132502573,0.1674176646706587,0.538321741551672
L3_S33,L3_S37,654274,4294.995849609375,395513.0,1653.0,326729.0,0.0065645216676948415,0.6045066745736496,0.5059238696289585
L3_S34,L3_S37,524654,4224.556640625,345064.0,1262.0,262070.0,0.008052081258553256,0.6576982163482982,0.4815507307207998
L0_S12,L0_S13,482989,1486.4531860351562,118621.0,1314.0,241283.0,0.0030776129187935052,0.24559772582812445,0.5445887194704973
L3_S34,L3_S35,469545,2508.0797119140625,216128.0,1184.0,235013.0,0.005341510849682272,0.46029241073805494,0.5038019173407429
L3_S37,L3_S36,449643,0.0,0.0,1099.0,224603.0,0.0,0.0,0.4893078008753222
L0_S8,L0_S9,449338,893.99169921875,69470.0,1191.0,224636.0,0.00198957510653172,0.15460521923362813,0.5301910646557096
L0_S8,L0_S11,447672,964.4004516601562,85003.0,1188.0,223698.0,0.0021542568033295724,0.18987785700244822,0.5310731432556393
L0_S8,L0_S10,447086,975.0852966308594,81656.0,1213.0,223388.0,0.0021809792671451562,0.18264047632893896,0.543001414579118
L3_S33,L3_S36,430479,2480.1741943359375,212418.0,1193.0,215539.0,0.005761428999639791,0.4934456733081056,0.5534961190318225
L3_S35,L3_S37,422829,1210.1636962890625,80407.0,1339.0,211408.0,0.002862064088057022,0.19016434539731192,0.6333724362370393
L3_S35,L3_S34,420326,0.0,0.0,1028.0,210017.0,0.0,0.0,0.48948418461362647
L3_S36,L3_S37,395600,983.3971557617188,74382.0,1566.0,197860.0,0.002485837097476539,0.1880232558139535,0.7914687152532093
L0_S9,L3_S29,360606,1266231.625,360606.0,915.0,180185.0,3.511399214100708,1.0,0.5078114160446209
L0_S11,L3_S29,360325,1267072.4375,360325.0,898.0,179992.0,3.5164710677860267,1.0,0.49891106271389835
L0_S10,L3_S29,358768,1262661.875,358767.0,915.0,179231.0,3.5194383975159433,0.9999972126834055,0.5105143641445955
L0_S2,L0_S5,341102,9685.28173828125,341102.0,905.0,170452.0,0.028394092495151742,1.0,0.53094126205618
L0_S5,L0_S6,341061,1987.0828857421875,158261.0,894.0,170243.0,0.005826180318893651,0.4640254969052457,0.5251317234776173
L0_S5,L0_S7,337269,2090.304443359375,161923.0,915.0,168642.0,0.006197736653411298,0.4801004539403266,0.542569466680898
L0_S3,L0_S5,336893,8842.93310546875,336893.0,900.0,168247.0,0.02624849167382151,1.0,0.5349278144632594
L0_S2,L0_S4,336646,9328.92138671875,336646.0,905.0,168597.0,0.027711368579216,1.0,0.5367829795310711
L0_S4,L0_S6,336501,2150.6143798828125,163816.0,909.0,168220.0,0.0063911084361794246,0.4868217330706298,0.5403638092973487
L0_S4,L0_S7,332929,2141.4168701171875,166304.0,886.0,166469.0,0.006432052690264854,0.4995179152311754,0.5322312262343138
L0_S3,L0_S4,332659,8906.212890625,332649.0,891.0,166047.0,0.026772800046368804,0.9999699391869753,0.5365950604346962
L3_S30,L3_S35,329581,7035.737548828125,329581.0,791.0,164303.0,0.02134752169824148,1.0,0.4814276063127271
L3_S37,L3_S34,281561,0.0,0.0,686.0,141226.0,0.0,0.0,0.4857462506903828
L3_S30,L3_S34,264184,5574.8056640625,260489.0,890.0,132131.0,0.021101980680368608,0.9860135360203495,0.6735739531222802
L3_S30,L3_S29,263803,0.0,0.0,876.0,131979.0,0.0,0.0,0.6637419589480145
L3_S37,L3_S35,261798,0.0,0.0,793.0,131245.0,0.0,0.0,0.6042134938473847
L2_S26,L3_S29,257914,1643109.75,257914.0,999.0,128894.0,6.370766030537311,1.0,0.7750554719381818
L1_S24,L2_S26,243524,5201662.25,243507.0,1040.0,122007.0,21.359957334800676,0.9999301916854191,0.852410107616776
L3_S30,L3_S37,208614,4237.83740234375,208614.0,566.0,104755.0,0.020314252170725598,1.0,0.5403083385041286
L2_S26,L3_S30,185864,1343653.4375,185864.0,662.0,92901.0,7.229229100309904,1.0,0.7125865168297435
L2_S27,L3_S29,160922,987564.0625,160922.0,600.0,80935.0,6.136911438460869,1.0,0.741335639710879
L0_S13,L0_S14,145451,1605.333740234375,92353.0,420.0,72490.0,0.01103693848948701,0.6349423517198232,0.5793902607256174
L0_S20,L0_S21,142935,721.6624145507812,51182.0,397.0,71394.0,0.005048885259389102,0.35807884702836956,0.556069137462532
L0_S20,L0_S23,142283,695.6166687011719,55883.0,392.0,71016.0,0.004888965432983363,0.3927595004322372,0.5519882843302917
L0_S20,L0_S22,142134,643.7900695800781,53680.0,381.0,71123.0,0.0045294586065267855,0.37767177452263356,0.5356916890457377
L3_S29,L3_S34,140828,2677.6629638671875,140828.0,431.0,70419.0,0.01901371150529147,1.0,0.6120507249463923
L0_S13,L0_S15,139520,1354.2847290039062,84104.0,370.0,69639.0,0.009706742610406438,0.6028096330275229,0.5313114777638966
L0_S17,L0_S20,134896,1027.2830200195312,92839.0,371.0,67636.0,0.007615370507795125,0.6882264855888981,0.5485244544325507
L0_S16,L0_S20,131531,1039.9960327148438,93527.0,366.0,65451.0,0.007906851105175538,0.7110643118352328,0.5591969565018104
L3_S34,L3_S36,124283,908.0851745605469,54006.0,364.0,62185.0,0.007306592008243661,0.4345405244482351,0.585350164830747
L0_S18,L3_S29,114517,362427.203125,114517.0,316.0,57209.0,3.164833196163015,1.0,0.5523606425562411
L0_S19,L3_S29,110175,347321.921875,110175.0,288.0,54958.0,3.152456744951214,1.0,0.5240365369918847
L3_S40,L3_S41,110092,157.34770965576172,13391.0,266.0,54987.0,0.0014292383611503262,0.12163463285252335,0.4837507047120228
L3_S39,L3_S40,105139,384.2695007324219,32238.0,260.0,52576.0,0.003654871177511883,0.3066226614291557,0.49452221545952524
L3_S36,L3_S34,104797,0.0,0.0,256.0,52274.0,0.0,0.0,0.4897272066419252
L0_S15,L0_S12,102962,0.0,0.0,270.0,51682.0,0.0,0.0,0.5224256027243528
L0_S13,L0_S17,101108,2613.9521484375,101108.0,275.0,50757.0,0.025853069474596473,1.0,0.5417971905352956
L1_S25,L2_S26,99767,2700815.375,99767.0,267.0,49841.0,27.071229715236502,1.0,0.53570353724845
L3_S30,L3_S36,99234,2014.9772338867188,99234.0,254.0,49664.0,0.02030531102129027,1.0,0.5114368556701031
L0_S13,L0_S16,97600,2489.473388671875,97600.0,254.0,48752.0,0.02550689947409708,1.0,0.5210042664916311
L0_S14,L0_S12,96133,0.0,0.0,262.0,48043.0,0.0,0.0,0.5453447952875549
L1_S24,L2_S27,88940,2016475.5,88923.0,289.0,44621.0,22.672312795142794,0.9998088599055543,0.6476771027094865
L0_S19,L0_S20,80875,72.88077545166016,3484.0,231.0,40433.0,0.000901153328614036,0.043078825347758885,0.5713155096084882
L0_S18,L0_S20,80170,64.53828048706055,2952.0,202.0,40083.0,0.0008050178431715174,0.03682175377323188,0.5039542948382107
L0_S14,L0_S17,73498,1509.7222900390625,73498.0,201.0,36609.0,0.02054099825898749,1.0,0.5490453167253954
L2_S27,L3_S30,73141,559100.78125,73141.0,192.0,36670.0,7.644150083400555,1.0,0.5235887646577584
L0_S14,L0_S16,71650,1554.2494506835938,71647.0,217.0,35730.0,0.021692246345898027,0.9999581297976273,0.6073327735796249
L0_S15,L0_S17,70521,1562.961181640625,70521.0,181.0,35209.0,0.022163060388262008,1.0,0.5140731063080463
L3_S30,L3_S31,69018,413.48004150390625,37627.0,92.0,34364.0,0.0059909015257455485,0.5451766205917297,0.26772203468746364
L0_S15,L0_S16,68830,1521.9899291992188,68830.0,187.0,34328.0,0.022112304652029912,1.0,0.5447448147285016
L3_S29,L3_S33,63557,1271.9185180664062,63495.0,162.0,31711.0,0.020012249131746405,0.9990244976949825,0.510863738135032
L0_S17,L0_S19,57189,195.17656707763672,9482.0,145.0,28437.0,0.003412834060354906,0.16580111559915367,0.509899075148574
L3_S43,L3_S45,54909,165.60704040527344,14073.0,140.0,27448.0,0.0030160272524590403,0.2562967819483145,0.5100553774409793
L3_S41,L3_S43,54624,482.7775421142578,21168.0,137.0,27307.0,0.008838194605196577,0.3875219683655536,0.501702860072509
L0_S16,L0_S19,54463,175.54385375976562,9668.0,171.0,27341.0,0.003223176353850607,0.1775150101904045,0.6254343293954135
L0_S17,L0_S18,53761,193.57481384277344,9169.0,146.0,26891.0,0.0036006550072129133,0.1705511430218932,0.5429325796734966
L0_S16,L0_S18,52609,218.34503936767578,9524.0,124.0,26286.0,0.004150336242233758,0.18103366344161645,0.47173400289127293
L3_S48,L3_S50,49610,300.37791442871094,25045.0,138.0,24827.0,0.006054785616381998,0.5048377343277565,0.5558464574858017
L3_S47,L3_S48,48663,68.8307113647461,4887.0,142.0,24263.0,0.0014144362526919035,0.10042537451451822,0.5852532662902362
L3_S31,L3_S34,48356,877.8804016113281,43698.0,41.0,24067.0,0.018154528943902064,0.9036727603606585,0.17035775127768313
L0_S20,L3_S29,47678,153434.4921875,47678.0,127.0,23807.0,3.218140278272998,1.0,0.5334565463939177
L3_S48,L3_S49,47168,197.25547790527344,16719.0,127.0,23539.0,0.0041819767194978255,0.35445641112618725,0.539530141467352
L3_S47,L3_S51,46853,142.07405853271484,12101.0,117.0,23457.0,0.003032336425260172,0.2582758841482936,0.4987850108709554
L0_S21,L0_S18,46492,0.0,0.0,124.0,23136.0,0.0,0.0,0.5359612724757953
L0_S23,L3_S29,46350,156093.046875,46350.0,107.0,23205.0,3.367703276699029,1.0,0.46110751993104937
L1_S25,L2_S27,45887,1182619.375,45887.0,96.0,22988.0,25.772427375945256,1.0,0.41760918740212283
L0_S22,L0_S18,45040,0.0,0.0,130.0,22520.0,0.0,0.0,0.5772646536412078
L0_S21,L0_S19,44829,0.0,0.0,134.0,22403.0,0.0,0.0,0.5981341784582422
L0_S22,L3_S29,44255,146573.6875,44255.0,108.0,22117.0,3.312025477347192,1.0,0.4883121580684541
L0_S23,L0_S18,43831,0.0,0.0,126.0,21951.0,0.0,0.0,0.5740057400574006
L3_S45,L3_S47,43733,746.6470947265625,33591.0,114.0,21757.0,0.017072853331044347,0.768092744609334,0.5239692972376707
L0_S22,L0_S19,43034,0.0,0.0,105.0,21542.0,0.0,0.0,0.48741992386965
L3_S41,L3_S45,42380,345.4918518066406,20359.0,106.0,21186.0,0.008152238126631444,0.4803916941953752,0.5003304068724629
L0_S21,L3_S29,42308,141084.328125,42308.0,108.0,21268.0,3.3346962306183228,1.0,0.5078051532819259
L0_S23,L0_S19,42177,0.0,0.0,111.0,20991.0,0.0,0.0,0.5287980563098471
L3_S35,L3_S33,40218,0.0,0.0,111.0,20141.0,0.0,0.0,0.5511146417754829
L3_S45,L3_S44,40062,0.0,0.0,98.0,19998.0,0.0,0.0,0.49004900490049
L3_S33,L3_S35,35109,112.32706832885742,7684.0,90.0,17443.0,0.0031993810227821193,0.21886126064541855,0.5159662902023734
L3_S30,L3_S32,34022,3172.93994140625,34018.0,746.0,17069.0,0.09326141735953941,0.9998824290165187,4.370496221219755
L3_S29,L3_S37,33074,813.7639770507812,33074.0,94.0,16744.0,0.02460434108516603,1.0,0.5613951266125179
L3_S45,L3_S48,32007,577.9721069335938,31523.0,77.0,16101.0,0.01805767822456318,0.9848783078701534,0.47823116576610153
L0_S11,L2_S26,30915,74636.6015625,30830.0,101.0,15342.0,2.414252031780689,0.9972505256348051,0.6583235562508147
L0_S9,L2_S26,30811,74449.62109375,30724.0,92.0,15224.0,2.4163325141589045,0.9971763331277791,0.604308985811876
L0_S10,L2_S26,30809,73976.65234375,30714.0,125.0,15431.0,2.4011377306550035,0.9969164854425655,0.8100576761065388
L3_S50,L3_S51,30387,31.92830467224121,2157.0,93.0,15141.0,0.0010507225021305561,0.07098430249777865,0.6142262730334852
L3_S37,L3_S38,28851,415402.90625,28851.0,121.0,14442.0,14.39821518318256,1.0,0.8378340950006924
L0_S9,L2_S27,27604,63810.62109375,27526.0,116.0,14000.0,2.3116440042656863,0.9971743225619475,0.8285714285714285
L0_S11,L2_S27,27603,62282.9609375,27529.0,100.0,13980.0,2.2563837603702495,0.9973191319784082,0.7153075822603719
L0_S10,L2_S27,27455,63513.203125,27354.0,108.0,13677.0,2.313356515206702,0.9963212529593881,0.789646852379908
L3_S49,L3_S47,25933,0.0,0.0,67.0,12919.0,0.0,0.0,0.5186159919498413
L1_S24,L3_S29,25747,765392.71875,25747.0,152.0,12934.0,29.727452470190702,1.0,1.1751971547858358
L3_S29,L3_S36,25519,634.1632080078125,25519.0,55.0,12655.0,0.02485062925693846,1.0,0.434610825760569
L3_S32,L3_S33,25280,1934.0133056640625,21872.0,62.0,12759.0,0.07650369088861007,0.8651898734177215,0.4859314993338036
L3_S49,L3_S51,23095,38.38337326049805,2605.0,64.0,11538.0,0.0016619776254816214,0.11279497726780688,0.5546888542208356
L3_S36,L3_S33,22901,0.0,0.0,73.0,11405.0,0.0,0.0,0.6400701446733889
L3_S44,L3_S47,22869,649.2216796875,22055.0,54.0,11418.0,0.028388721836875245,0.9644059644059644,0.4729374671571204
L0_S11,L3_S39,22532,44897.775390625,22532.0,74.0,11275.0,1.9926227316982514,1.0,0.656319290465632
L0_S10,L3_S39,22411,44367.5234375,22411.0,45.0,11145.0,1.9797208262683503,1.0,0.4037685060565276
L0_S9,L3_S39,22391,44226.935546875,22391.0,45.0,11267.0,1.9752103767975973,1.0,0.39939646756013136
L3_S50,L3_S47,20820,0.0,0.0,52.0,10481.0,0.0,0.0,0.4961358648983875
L0_S21,L0_S20,19992,0.0,0.0,64.0,9974.0,0.0,0.0,0.6416683376779627
L3_S48,L3_S51,19535,241.20730590820312,1920.0,28.0,9692.0,0.012347443353376153,0.098285129255183,0.2888980602558811
L3_S44,L3_S48,19418,385.3854064941406,19402.0,56.0,9651.0,0.01984681257050884,0.9991760222473993,0.5802507512174904
L3_S31,L3_S33,18846,295.6591491699219,12235.0,24.0,9407.0,0.015688164553216696,0.6492093813010719,0.255129159136813
L0_S22,L0_S20,18723,0.0,0.0,47.0,9386.0,0.0,0.0,0.5007457916045174
L0_S23,L0_S20,18322,0.0,0.0,42.0,9114.0,0.0,0.0,0.4608294930875576
L2_S28,L3_S29,18267,103273.22265625,18267.0,62.0,9154.0,5.653540409276291,1.0,0.6772995411841818
L3_S41,L3_S44,16955,45.3311767578125,1335.0,41.0,8445.0,0.0026736170308352993,0.07873783544677086,0.4854943753700414
L3_S36,L3_S38,16106,251417.921875,16106.0,45.0,8099.0,15.610202525456351,1.0,0.555624151129769
L1_S25,L3_S29,15867,661495.25,15867.0,44.0,7984.0,41.69000126047772,1.0,0.5511022044088176
