feature,corr_with_response,abs_corr_with_response,missing_rate
L1_S24_F867,-0.3629694340524516,0.3629694340524516,0.9898389153673917
L1_S24_F1723,-0.3547181475177996,0.3547181475177996,0.9433529816230702
L1_S24_F1695,-0.2608239307956586,0.2608239307956586,0.9433529816230702
L1_S24_F839,-0.25231335445014674,0.25231335445014674,0.9898389153673917
L1_S24_F1632,-0.2409960364095884,0.2409960364095884,0.9438995292638062
L1_S24_F1604,-0.2181733264865166,0.2181733264865166,0.9438995292638062
L1_S24_F1758,-0.1850084524567516,0.1850084524567516,0.9433529816230702
L1_S24_F1667,-0.1671310557135012,0.1671310557135012,0.9438995292638062
L3_S32_F3850__is_missing,-0.1581833558171169,0.1581833558171169,0.0
L1_S24_F902,-0.14697118834033457,0.14697118834033457,0.9898389153673917
L1_S24_F1846,-0.13680340108182268,0.13680340108182268,0.8874582008591964
L1_S24_F1002,0.12739767632062943,0.12739767632062943,0.9901797730358077
L2_S28_F3259,-0.12370350194854512,0.12370350194854512,0.9920427364993918
L1_S24_F1298,-0.12148760402760317,0.12148760402760317,0.9883344401412796
L1_S24_F988,0.11580121153789599,0.11580121153789599,0.9901386350413437
L1_S24_F1672,0.10757741387127559,0.10757741387127559,0.9433529816230702
L2_S28_F3292,0.10505055009576988,0.10505055009576988,0.9920427364993918
L1_S24_F930,-0.10427965485480861,0.10427965485480861,0.9901386350413437
L1_S24_F816,0.09989765880609826,0.09989765880609826,0.9898389153673917
L1_S24_F1000,0.09909619101815476,0.09909619101815476,0.9901797730358077
L1_S24_F1326,-0.0979020379323746,0.0979020379323746,0.9883344401412796
L1_S24_F1581,0.09553855969656748,0.09553855969656748,0.9438995292638062
L1_S24_F1844,-0.0928082975209982,0.0928082975209982,0.8874582008591964
L1_S24_F1748,0.08648186898614646,0.08648186898614646,0.9433529816230702
L1_S24_F1498,-0.08296782273116311,0.08296782273116311,0.9768745702548792
L1_S24_F1713,0.08078898136999152,0.08078898136999152,0.9433529816230702
L1_S25_F2237,0.08036502212078395,0.08036502212078395,0.9940643750844798
L1_S24_F1207,-0.07949209497889369,0.07949209497889369,0.9884989921191356
L1_S24_F1718,0.07799602387921341,0.07799602387921341,0.9433529816230702
L1_S25_F2857,0.07482961098615062,0.07482961098615062,0.9927538361179837
L1_S24_F1004,0.07424331825991845,0.07424331825991845,0.9901797730358077
L1_S24_F1036,-0.07229442732862827,0.07229442732862827,0.9898447922237437
L1_S25_F2464,-0.07195695593710572,0.07195695593710572,0.9941584047861118
L2_S28_F3248,0.07152406225404381,0.07152406225404381,0.9920427364993918
L1_S24_F1494,-0.06854431571556978,0.06854431571556978,0.9768745702548792
L1_S24_F829,0.0680089697259861,0.0680089697259861,0.9898389153673917
L1_S24_F1609,-0.06643899651679963,0.06643899651679963,0.9438995292638062
L1_S24_F1122,0.06593727268714997,0.06593727268714997,0.9768393091167673
line_1_start_time,-0.06586509762043839,0.06586509762043839,0.7744932680610488
line_1_end_time,-0.06577229745182814,0.06577229745182814,0.7744932680610488
L1_S25_F2886,0.06443903674177694,0.06443903674177694,0.9924776238694397
L2_S28_F3237,-0.06298980202754943,0.06298980202754943,0.9920427364993918
L1_S24_F1622,0.06259624203521769,0.06259624203521769,0.9438995292638062
L1_S24_F1174,-0.0617198576479273,0.0617198576479273,0.9768451859731193
L1_S24_F814,-0.06092878124427936,0.06092878124427936,0.9800128115468474
L1_S24_F1212,-0.060746045039431214,0.060746045039431214,0.9884989921191356
L1_S24_F1814,0.060695129978154856,0.060695129978154856,0.9431237842253422
L1_S24_F691,-0.060259958202377034,0.060259958202377034,0.9799775504087354
L1_S24_F719,-0.05903078214566341,0.05903078214566341,0.9801479792429434
L2_S27_F3144,-0.058407867295810476,0.058407867295810476,0.8982246016960608
L1_S25_F2960,-0.05825999880418759,0.05825999880418759,0.9927479592616317
L2_S28_F3303,0.05805534434170452,0.05805534434170452,0.9920427364993918
L1_S24_F1627,0.057669736788170896,0.057669736788170896,0.9438995292638062
L1_S25_F2466,0.05755037573269507,0.05755037573269507,0.9941584047861118
L1_S24_F1490,-0.05679655474865347,0.05679655474865347,0.9768745702548792
L1_S24_F795,-0.05672082428357959,0.05672082428357959,0.9801479792429434
L1_S24_F1126,-0.05663348735218408,0.05663348735218408,0.9768393091167673
L1_S24_F1842,-0.05612241218051282,0.05612241218051282,0.8874582008591964
L1_S24_F679,0.05547208657010983,0.05547208657010983,0.9799775504087354
L1_S24_F1778,0.05447710745503669,0.05447710745503669,0.9443050323520942
L1_S25_F2915,0.05261366066165837,0.05261366066165837,0.9924776238694397
L1_S24_F746,-0.05260357012023516,0.05260357012023516,0.9801479792429434
L1_S24_F785,-0.05257620930262398,0.05257620930262398,0.9801479792429434
L1_S24_F780,-0.052576209302623966,0.052576209302623966,0.9801479792429434
L1_S24_F766,-0.05248940245670446,0.05248940245670446,0.9801479792429434
L1_S24_F775,-0.05248100985016383,0.05248100985016383,0.9801479792429434
L1_S24_F1474,0.05195976185174865,0.05195976185174865,0.9768745702548792
L1_S24_F1166,0.051842797382518915,0.051842797382518915,0.9768451859731193
L1_S24_F1478,0.05146629246422392,0.05146629246422392,0.9768745702548792
L1_S24_F1303,-0.05136878263534557,0.05136878263534557,0.9883344401412796
L1_S24_F1176,0.05134904380179099,0.05134904380179099,0.9768451859731193
L1_S24_F1031,0.051174666757451755,0.051174666757451755,0.9898447922237437
L1_S24_F958,-0.05105861187787491,0.05105861187787491,0.9901386350413437
L1_S24_F1700,-0.049194375258331646,0.049194375258331646,0.9433529816230702
L1_S24_F1102,-0.04668972843691467,0.04668972843691467,0.9800245652595514
L1_S25_F2990,0.0444122106537839,0.0444122106537839,0.9927479592616317
L3_S49_F4211,-0.04416828953222886,0.04416828953222886,0.9749704687968312
L1_S24_F998,0.04097458843690323,0.04097458843690323,0.9901797730358077
L1_S24_F1657,0.040364359692957846,0.040364359692957846,0.9438995292638062
line_2_end_time,-0.039396648821769686,0.039396648821769686,0.6984996385733343
line_2_start_time,-0.03939599993676772,0.03939599993676772,0.6984996385733343
L1_S24_F1846__is_missing,-0.0347482255950564,0.0347482255950564,0.0
L1_S24_F1844__is_missing,-0.0347482255950564,0.0347482255950564,0.0
L1_S24_F1842__is_missing,-0.0347482255950564,0.0347482255950564,0.0
max_waiting_time,0.0343022613831882,0.0343022613831882,0.0
waiting_time,0.034022844302438335,0.034022844302438335,0.0
