dataset,split,data_type,column,line,station,station_key,feature_kind,feature_id
train_numeric,train,numeric,L0_S0_F0,0,0,L0_S0,F,0
train_numeric,train,numeric,L0_S0_F2,0,0,L0_S0,F,2
train_numeric,train,numeric,L0_S0_F4,0,0,L0_S0,F,4
train_numeric,train,numeric,L0_S0_F6,0,0,L0_S0,F,6
train_numeric,train,numeric,L0_S0_F8,0,0,L0_S0,F,8
train_numeric,train,numeric,L0_S0_F10,0,0,L0_S0,F,10
train_numeric,train,numeric,L0_S0_F12,0,0,L0_S0,F,12
train_numeric,train,numeric,L0_S0_F14,0,0,L0_S0,F,14
train_numeric,train,numeric,L0_S0_F16,0,0,L0_S0,F,16
train_numeric,train,numeric,L0_S0_F18,0,0,L0_S0,F,18
train_numeric,train,numeric,L0_S0_F20,0,0,L0_S0,F,20
train_numeric,train,numeric,L0_S0_F22,0,0,L0_S0,F,22
train_numeric,train,numeric,L0_S1_F24,0,1,L0_S1,F,24
train_numeric,train,numeric,L0_S1_F28,0,1,L0_S1,F,28
train_numeric,train,numeric,L0_S2_F32,0,2,L0_S2,F,32
train_numeric,train,numeric,L0_S2_F36,0,2,L0_S2,F,36
train_numeric,train,numeric,L0_S2_F40,0,2,L0_S2,F,40
train_numeric,train,numeric,L0_S2_F44,0,2,L0_S2,F,44
train_numeric,train,numeric,L0_S2_F48,0,2,L0_S2,F,48
train_numeric,train,numeric,L0_S2_F52,0,2,L0_S2,F,52
train_numeric,train,numeric,L0_S2_F56,0,2,L0_S2,F,56
train_numeric,train,numeric,L0_S2_F60,0,2,L0_S2,F,60
train_numeric,train,numeric,L0_S2_F64,0,2,L0_S2,F,64
train_numeric,train,numeric,L0_S3_F68,0,3,L0_S3,F,68
train_numeric,train,numeric,L0_S3_F72,0,3,L0_S3,F,72
train_numeric,train,numeric,L0_S3_F76,0,3,L0_S3,F,76
train_numeric,train,numeric,L0_S3_F80,0,3,L0_S3,F,80
train_numeric,train,numeric,L0_S3_F84,0,3,L0_S3,F,84
train_numeric,train,numeric,L0_S3_F88,0,3,L0_S3,F,88
train_numeric,train,numeric,L0_S3_F92,0,3,L0_S3,F,92
train_numeric,train,numeric,L0_S3_F96,0,3,L0_S3,F,96
train_numeric,train,numeric,L0_S3_F100,0,3,L0_S3,F,100
