encoded_feature,part_count,failure_count,failure_rate,failure_rate_pct,overall_failure_rate_pct,failure_rate_lift,correlation_with_response,absolute_correlation
L3_S32_F3854_T2,4136,667,0.1612669245647969,16.12669245647969,0.581120796927046,27.751015867539564,0.12110439788813612,0.12110439788813612
L3_S32_F3854_T16,3509,159,0.04531205471644343,4.531205471644343,0.581120796927046,7.797355550868696,0.02833646380016398,0.02833646380016398
L1_S24_F1525_T2,6630,64,0.009653092006033183,0.9653092006033183,0.581120796927046,1.6611162527788579,0.0037933556280083857,0.0037933556280083857
L1_S24_F1530_T2,8629,83,0.009618727546645034,0.9618727546645034,0.581120796927046,1.6552027732458816,0.004292536530159273,0.004292536530159273
L1_S24_F1510_T2,8654,83,0.009590940605500347,0.9590940605500347,0.581120796927046,1.6504211613518271,0.004267423711372232,0.004267423711372232
L1_S24_F1530_T4,1452,13,0.008953168044077135,0.8953168044077136,0.581120796927046,1.54067245423349,0.0014486164192762955,0.0014486164192762955
L1_S24_F1525_T3,124053,1109,0.008939727374589894,0.8939727374589893,0.581120796927046,1.5383595668685366,0.014082657292843604,0.014082657292843604
L1_S24_F1510_T4,1455,13,0.008934707903780068,0.8934707903780068,0.581120796927046,1.5374958099979568,0.0014415940525823886,0.0014415940525823886
L1_S24_F1530_T3,122237,1092,0.008933465317375263,0.8933465317375263,0.581120796927046,1.5372819841615084,0.013939280335808268,0.013939280335808268
L1_S24_F1510_T3,122544,1094,0.008927405666536102,0.8927405666536101,0.581120796927046,1.5362392317989695,0.013931701266124643,0.013931701266124643
L1_S24_F1525_T4,1490,13,0.0087248322147651,0.87248322147651,0.581120796927046,1.501380136608743,0.0013608275378401717,0.0013608275378401717
L2_S27_F3192_T143,12239,94,0.007680366042977367,0.7680366042977368,0.581120796927046,1.3216470798482818,0.002513499068415867,0.002513499068415867
L2_S28_F3285_T145,7460,57,0.007640750670241287,0.7640750670241286,0.581120796927046,1.3148300165207316,0.0019168479946855374,0.0019168479946855374
L2_S26_F3099_T145,209423,1582,0.007554089092411054,0.7554089092411054,0.581120796927046,1.299917182857146,0.010630669434917315,0.010630669434917315
L1_S24_F1140_T3,26279,193,0.00734426728566536,0.734426728566536,0.581120796927046,1.2638107815968183,0.003039073748570696,0.003039073748570696
L1_S24_F1114_T3,26302,193,0.007337845030796137,0.7337845030796137,0.581120796927046,1.2627056318752488,0.003027696689869138,0.003027696689869138
L1_S24_F1137_T3,26227,191,0.007282571395889732,0.7282571395889732,0.581120796927046,1.2531940750356567,0.0029138176693508113,0.0029138176693508113
L1_S25_F2229_T4,4853,35,0.007212033793529775,0.7212033793529775,0.581120796927046,1.241055875416411,0.0011824540303804172,0.0011824540303804172
L3_S32_F3854_T128,4528,31,0.006846289752650177,0.6846289752650176,0.581120796927046,1.1781181793618825,0.0008438456190197413,0.0008438456190197413
L2_S27_F3192_T145,108490,728,0.00671029587980459,0.671029587980459,0.581120796927046,1.154716182124007,0.0037572771636106166,0.0037572771636106166
L2_S26_F3099_T143,17588,113,0.006424835114851035,0.6424835114851035,0.581120796927046,1.1055937334931776,0.0009914396137382234,0.0009914396137382234
L1_S25_F2229_T5,1900,12,0.00631578947368421,0.631578947368421,0.581120796927046,1.0868290219661672,0.00026617046219943826,0.00026617046219943826
L3_S32_F3854_T512,1479,9,0.006085192697768763,0.6085192697768762,0.581120796927046,1.047147637797017,0.00012749255824273214,0.00012749255824273214
L1_S25_F1852_T5,10230,59,0.005767350928641252,0.5767350928641252,0.581120796927046,0.9924530251092158,-5.3872211850269297e-05,5.3872211850269297e-05
L1_S25_F2779_T4,11503,66,0.005737633660784143,0.5737633660784144,0.581120796927046,0.98733924015878,-9.588597730687888e-05,9.588597730687888e-05
L1_S24_F710_T3,21721,119,0.0054785691266516275,0.5478569126651628,0.581120796927046,0.9427590882346976,-0.0005983252150391598,0.0005983252150391598
L1_S24_F675_T3,21753,119,0.005470509814738197,0.5470509814738197,0.581120796927046,0.9413722316713036,-0.0006132813781017624,0.0006132813781017624
L1_S24_F705_T3,22636,122,0.005389644813571302,0.5389644813571303,0.581120796927046,0.9274568802341312,-0.0007743868674382944,0.0007743868674382944
L3_S32_F3854_T8,2787,15,0.005382131324004306,0.5382131324004306,0.581120796927046,0.9261639494688364,-0.00027423199704789455,0.00027423199704789455
L1_S25_F1852_T4,41642,204,0.004898900148888142,0.4898900148888142,0.581120796927046,0.8430089191082848,-0.002291851798389222,0.002291851798389222
L2_S28_F3285_T143,2123,10,0.004710315591144607,0.4710315591144607,0.581120796927046,0.8105570504536496,-0.0006139211139974686,0.0006139211139974686
L1_S25_F1852_T3,2496,11,0.004407051282051282,0.4407051282051282,0.581120796927046,0.7583709454825351,-0.0008491787701547014,0.0008491787701547014
L3_S32_F3854_T256,1248,5,0.004006410256410256,0.4006410256410256,0.581120796927046,0.6894281322568501,-0.0007713789673604741,0.0007713789673604741
L1_S25_F2779_T5,4945,19,0.0038422649140546004,0.38422649140546006,0.581120796927046,0.6611817946238394,-0.001677753800935622,0.001677753800935622
L1_S24_F710_T2,1881,7,0.003721424774056353,0.3721424774056353,0.581120796927046,0.6403874708554856,-0.0010968414906959,0.0010968414906959
L1_S24_F675_T2,1885,7,0.003713527851458886,0.3713527851458886,0.581120796927046,0.6390285584504872,-0.0011021581442181422,0.0011021581442181422
L1_S25_F2496_T4,2844,5,0.0017580872011251757,0.17580872011251758,0.581120796927046,0.3025338639439342,-0.0026168545656147426,0.0026168545656147426
L1_S25_F2496_T5,1224,2,0.0016339869281045752,0.16339869281045752,0.581120796927046,0.2811785323714212,-0.0017680955338551935,0.0017680955338551935
