station,in_degree_centrality,out_degree_centrality,weighted_inflow,weighted_outflow,pagerank,betweenness_centrality,closeness_centrality,product_count,avg_dwell,p90_dwell,avg_waiting_time,p90_waiting_time,positive_wait_rate,failure_count,labeled_count,failure_rate_pct,failure_lift,bottleneck_score,bottleneck_rank,station_shap_importance,centrality_score,critical_node_score,critical_rank,line
L1_S24,0.19607843137254902,0.3333333333333333,5833.0,366579.0,0.0031298475948660395,0.000784313725490196,1.478393290665402,366583,0.0969886615701473,0.0629954736077014,23.25339665050965,41.0135499014125,0.994170175205116,1521.0,183727.0,0.8278587251737632,1.4754079960256803,74.37195984225733,2,0.2617656995842045,0.09137799934500747,60.08370682925705,1,L1
L3_S29,0.49019607843137253,0.17647058823529413,2237105.0,2239065.0,0.05293089334806658,0.05607843137254902,3.460701616357608,2239066,0.0,0.0,5.787474324524768,9.251115620080586,0.8784911791716025,6546.0,1119629.0,0.584657953661436,1.0419761168682946,54.27509124516112,9,0.0,0.640139138731757,52.954250590882715,2,L3
L3_S32,0.19607843137254902,0.11764705882352941,48678.0,47205.0,0.004129628178129607,0.0,2.759623019182669,48678,0.0,0.0,1.2055954538940112,1.220814736891728,0.7954049597810182,1106.0,24543.0,4.506376563582284,8.031254382946189,40.1792204022711,16,0.0680441883458411,0.12673085141988777,50.89699342415681,3,L3
L3_S30,0.4117647058823529,0.1568627450980392,2237113.0,2239366.0,0.04748831390803607,0.02588235294117647,2.7628745906212138,2239366,0.0,0.0,6.887507121069943,8.890029334204653,0.5651788439125925,6551.0,1119811.0,0.5850094346278077,1.0426025254721625,50.16078752586752,11,0.0,0.5021276708871251,47.342922368828255,4,L3
L3_S34,0.23529411764705882,0.11764705882352941,2230053.0,2207703.0,0.09398653515427093,0.001568627450980392,3.2147231677495207,2230053,0.0,0.0,2.46923272466163,2.480280063375963,0.3855074223046679,5718.0,1115118.0,0.5127708457759627,0.9138590715800106,34.1502487801032,21,0.0,0.6116783195683112,46.01799070957253,5,L3
L3_S33,0.23529411764705882,0.11764705882352941,2229189.0,2093661.0,0.06803364174060883,0.000392156862745098,3.150960544932028,2229189,0.0,0.0,4.543436879614188,4.543986028402294,0.4436523719578177,5546.0,1114695.0,0.4975352002117171,0.8867061376233346,41.44700180047805,15,0.0,0.5065822464502944,44.62732194843034,6,L3
L3_S39,0.43137254901960786,0.1568627450980392,119768.0,120019.0,0.006773295492398904,0.1192156862745098,2.9603395765328084,120019,0.0,0.0,6.171518262569686,8.511824197209396,0.8871570685690306,303.0,59908.0,0.5057755224677839,0.9013920217926142,51.84819678021051,10,0.0,0.49960201753237654,44.23614421572267,7,L3
L1_S25,0.21568627450980393,0.2549019607843137,1333.0,167220.0,0.0030265781453103525,0.0,1.3183117997508045,167220,2.2360294801213514,8.648699743605466,30.305350938465477,36.49513785740858,0.999251497005988,424.0,83658.0,0.5068254082096153,0.9032631258485464,88.33713373993885,1,0.022732500418428,0.06842006096882655,42.7627268746652,8,L1
L3_S37,0.19607843137254902,0.11764705882352941,2240647.0,1022189.0,0.10256105148749219,0.002352941176470588,3.0802237165723323,2240660,0.0,0.0,0.7738732226601726,0.7768792036927201,0.5079398987080708,6556.0,1120394.0,0.5851512949908693,1.0428553486986567,26.859927169769232,25,0.0,0.558886067779513,42.57942286975859,9,L3
L0_S13,0.11764705882352941,0.17647058823529413,484476.0,484481.0,0.008647615844209311,0.04941176470588235,1.008832388639201,484481,0.0,0.0,18.251959601515956,31.57883046454864,0.2471692538968556,1323.0,242065.0,0.5465474149505298,0.974055598744728,58.9562472409478,4,0.0,0.24108421931403254,39.598369490820026,10,L0
L3_S38,0.43137254901960786,0.0,53959.0,0.0,0.007319068518010697,0.0,2.934531640637686,54175,0.0,0.0,22.458706186883685,32.76502271599546,1.0,212.0,27142.0,0.7810772971778056,1.3920342381224244,70.63106122753706,3,0.0015426254081431002,0.1423628506648397,38.5197086476702,11,L3
L2_S26,0.27450980392156865,0.43137254901960786,454207.0,454340.0,0.00852383289798747,0.010980392156862745,2.3424686195220055,454344,0.0,0.0,5.493174627249929,9.860437938391454,0.999147985739076,1695.0,227011.0,0.7466598534872759,1.3306955458073646,55.50535772288917,7,0.0,0.1836060389352827,37.58796415542159,12,L2
L2_S27,0.2549019607843137,0.37254901960784315,239227.0,240284.0,0.0065456695601094645,0.000784313725490196,2.454168091569925,240285,0.0,0.0,6.270982695599107,12.227706439898231,0.998524402809116,822.0,120729.0,0.6808637527023333,1.2134338799536406,57.13229262497352,6,0.0233166679013273,0.13722074986997587,37.35669263695544,13,L2
L3_S35,0.17647058823529413,0.11764705882352941,1104219.0,887932.0,0.04981951880052707,0.0,2.7363772359957457,1104221,0.0,0.0,2.004602699998957,2.0956376581128664,0.5077498169116893,3177.0,552108.0,0.5754308939555305,1.025531671389941,33.84329912828791,22,0.0,0.34266443895084636,36.78091044714079,14,L3
L3_S36,0.21568627450980393,0.09803921568627451,1137894.0,540072.0,0.060689513345189953,0.0,3.0212164255572818,1137914,0.0,0.0,0.9903652679172796,0.9928060876685034,0.350988782910347,3391.0,569032.0,0.5959243065416355,1.0620549861488042,25.632308192560625,29,0.0,0.3699240136731607,35.459149582801274,15,L3
L3_S47,0.27450980392156865,0.11764705882352941,120104.0,119985.0,0.045625339112662686,0.04980392156862745,2.4638134456334098,120104,0.0,0.0,1.490805285345195,1.494206912962745,0.4897564953572977,304.0,59955.0,0.5070469518805771,0.9036579604908186,29.006042250955154,24,0.0,0.4108830291935365,34.91830197956345,16,L3
L0_S12,0.13725490196078433,0.13725490196078433,200027.0,484476.0,0.006630848561974573,0.001176470588235294,0.9336712585034191,484476,0.0,0.0,21.77672741926571,28.62656288707162,0.0020347822784531,1323.0,242061.0,0.5465564465155478,0.9740716947800044,55.493274603368825,8,0.0,0.0891241630054678,33.72007876676928,17,L0
L2_S28,0.27450980392156865,0.17647058823529413,18859.0,19153.0,0.0032921605498134185,0.0,2.1258059723585885,19153,0.0,0.0,7.884526998707792,13.435712594566668,0.9978789571100224,67.0,9583.0,0.6991547532088073,1.2460320607566475,57.21268028224495,5,0.007374758464935795,0.09443560501836219,32.139686195848846,18,L2
L0_S5,0.13725490196078433,0.13725490196078433,679592.0,679598.0,0.007604322835928155,0.06352941176470588,0.9023606282040771,679598,0.0,0.0,0.0502941760599093,0.0750314948878082,0.9981371385381336,1811.0,339512.0,0.5334126628808407,0.9506468725452588,26.164883830493263,27,0.0,0.28731848404739146,32.11465426637383,19,L0
L3_S45,0.37254901960784315,0.19607843137254902,120075.0,120075.0,0.01605288259187407,0.01607843137254902,2.500960887540148,120075,0.0,0.0,3.876139014490597,4.52208609646687,0.4476174633464318,304.0,59932.0,0.5072415404124675,0.9040047557436266,38.65413211067335,18,0.0,0.20952163559115694,31.15870325761698,20,L3
L0_S9,0.1568627450980392,0.4117647058823529,451406.0,451406.0,0.008421605761827215,0.10117647058823528,0.9974341735603596,451406,0.0,0.0,0.0041298628665215,0.0067642736467449,0.1550334101254218,1196.0,225679.0,0.5299562653148941,0.944486888418534,12.429335620270557,46,0.0,0.3895538338011834,31.06692539200939,21,L0
L3_S41,0.3333333333333333,0.19607843137254902,120024.0,120024.0,0.010788806300316126,0.020784313725490194,2.3545255993572525,120024,0.0,0.0,6.188531577683513,6.54925059491733,0.1311230050354468,304.0,59913.0,0.5074024001468797,0.9042914396078818,38.670449386191486,17,0.0,0.19848065701466888,30.80768306879993,22,L3
L0_S17,0.21568627450980393,0.17647058823529413,245950.0,245962.0,0.007179908436877443,0.06862745098039215,1.2054799543425663,245962,0.0,0.0,0.0191465417876908,0.0237621513704297,0.9976703262960656,662.0,123027.0,0.5380932640802426,0.9589886296903026,24.87161417301848,30,0.0,0.2848855268850803,30.59654350400951,23,L0
L3_S43,0.3333333333333333,0.1568627450980392,61130.0,61130.0,0.008860905718110731,0.001568627450980392,2.256939664418642,61130,0.0,0.0,9.073606372357965,10.4226367766902,0.4386390581645923,159.0,30551.0,0.520441229419659,0.9275292124100402,48.11124556767363,12,0.0,0.12711383443906427,30.51037407096016,24,L3
L0_S8,0.17647058823529413,0.3333333333333333,1348383.0,1348383.0,0.019043088849245927,0.0392156862745098,1.2418004900653268,1348383,0.0,0.0,0.0073013502786845,0.0092067101241934,0.1804985418677787,3606.0,673881.0,0.5351093145525694,0.9536706414164676,13.64612284893166,42,0.0,0.3156608239152958,30.2307110886067,25,L0
L3_S48,0.2549019607843137,0.11764705882352941,120048.0,119977.0,0.03742165796416663,0.0196078431372549,2.19760264307602,120048,0.0,0.0,1.098364298807286,1.09932131348407,0.4683820707815501,303.0,59923.0,0.5056489161090065,0.9011663842189463,26.303012161872434,26,0.0,0.2818518783211749,29.987433745275816,26,L3
L3_S40,0.39215686274509803,0.17647058823529413,119647.0,120033.0,0.008878332018999504,0.002352941176470588,2.581622941513211,120033,0.0,0.0,3.976924975923008,5.218792590146229,0.3412864964289391,304.0,59914.0,0.5073939313015321,0.9042763464503624,38.131682619351096,20,0.0,0.1474962545375376,29.01182214092575,27,L3
L0_S14,0.058823529411764705,0.17647058823529413,145899.0,241740.0,0.005216241987554354,0.0,0.8063329021990655,241740,0.0,0.0,4.342536283168201,4.342625570128318,0.6360703666338248,681.0,120625.0,0.564559585492228,1.0061568493988438,42.37582204461544,13,0.0,0.05891847660804684,28.365353619819206,28,L0
L3_S44,0.39215686274509803,0.17647058823529413,59795.0,59795.0,0.009949928393397216,0.004313725490196078,2.264664843541424,59795,0.0,0.0,6.727249923409024,7.797542141788383,0.0555098373112345,146.0,29804.0,0.4898671319286001,0.8730401232238282,38.64493584411484,19,0.0,0.13924700882698082,28.06297494025971,29,L3
L0_S20,0.23529411764705882,0.3333333333333333,484549.0,484572.0,0.018785653200152932,0.03490196078431372,1.281408986735318,484572,0.0,0.0,0.0053146158578868,0.005768888491933,0.3979762961524665,1323.0,242111.0,0.5464435734022824,0.9738705325662304,16.15987438677039,39,0.0,0.24594723420277215,27.643205221565214,30,L0
