feature,present_count,missing_count,present_rate,present_failure_rate,missing_failure_rate,presence_signal_abs_diff
L3_S38_F3954,3,1183744,2.534325324583716e-06,0.3333333333333333,0.005810377919550173,0.3275229554137831
L3_S38_F3955,3,1183744,2.534325324583716e-06,0.3333333333333333,0.005810377919550173,0.3275229554137831
L3_S38_F3963,3,1183744,2.534325324583716e-06,0.3333333333333333,0.005810377919550173,0.3275229554137831
L3_S38_F3962,3,1183744,2.534325324583716e-06,0.3333333333333333,0.005810377919550173,0.3275229554137831
L3_S38_F3959,3,1183744,2.534325324583716e-06,0.3333333333333333,0.005810377919550173,0.3275229554137831
L3_S38_F3958,3,1183744,2.534325324583716e-06,0.3333333333333333,0.005810377919550173,0.3275229554137831
L1_S24_F1643,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1589,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1586,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1593,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1590,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1661,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1658,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1582,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1585,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1671,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1668,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1666,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1663,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1631,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1628,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1626,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1623,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1613,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1610,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1608,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1605,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1621,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1618,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1617,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1614,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1651,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1648,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1646,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
L1_S24_F1633,136,1183611,0.00011488941471446179,0.17647058823529413,0.005791598760065596,0.17067898947522853
